Timestamp,Channel_0_Filtered,Channel_0_Error,Channel_1_Filtered,Channel_1_Error,Channel_2_Filtered,Channel_2_Error,Channel_3_Filtered,Channel_3_Error,Channel_4_Filtered,Channel_4_Error
2025-10-17 12:52:13.970,0,936,986,-2,914,-2,867,-3,976,-4
2025-10-17 12:52:14.178,936,0,0,984,0,912,866,-2,976,0
2025-10-17 12:52:14.383,935,1,986,-2,915,-3,868,-4,976,0
2025-10-17 12:52:14.588,938,-2,986,-2,913,-1,866,-2,975,1
2025-10-17 12:52:14.797,936,0,986,-2,915,-3,868,-4,976,-4
2025-10-17 12:52:15.002,936,0,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:15.210,938,-2,986,-2,914,-2,867,-3,976,-4
2025-10-17 12:52:15.415,936,0,986,-2,915,-3,868,-4,976,-4
2025-10-17 12:52:15.624,937,-1,986,-2,913,-1,865,-1,975,-3
2025-10-17 12:52:15.829,937,-1,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:16.038,935,1,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:16.243,937,-1,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:16.447,937,-1,986,-2,916,-4,868,-4,976,-4
2025-10-17 12:52:16.657,936,0,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:16.861,938,-2,986,-2,913,-1,867,-3,975,-3
2025-10-17 12:52:17.070,936,0,986,-2,915,-3,868,-4,976,-4
2025-10-17 12:52:17.275,936,0,986,-2,913,-1,866,-2,975,-3
2025-10-17 12:52:17.483,938,-2,986,-2,914,-2,866,-2,976,-4
2025-10-17 12:52:17.689,936,0,987,-3,915,-3,867,-3,976,-4
2025-10-17 12:52:17.893,938,-2,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:18.102,937,-1,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:18.307,936,0,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:18.515,938,-2,986,-2,915,-3,865,-1,975,-3
2025-10-17 12:52:18.721,936,0,986,-2,916,-4,868,-4,976,-4
2025-10-17 12:52:18.929,937,-1,986,-2,914,-2,866,-2,976,-4
2025-10-17 12:52:19.135,937,-1,986,-2,915,-3,868,-4,976,-4
2025-10-17 12:52:19.343,935,1,986,-2,915,-3,868,-4,976,-4
2025-10-17 12:52:19.548,937,-1,986,-2,913,-1,866,-2,975,-3
2025-10-17 12:52:19.753,937,-1,987,-3,915,-3,868,-4,976,-4
2025-10-17 12:52:19.962,936,0,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:20.166,938,-2,986,-2,913,-1,866,-2,975,-3
2025-10-17 12:52:20.376,936,0,987,-3,915,-3,868,-4,976,-4
2025-10-17 12:52:20.580,937,-1,986,-2,914,-2,867,-3,976,-4
2025-10-17 12:52:20.789,938,-2,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:20.994,936,0,987,-3,916,-4,868,-4,976,-4
2025-10-17 12:52:21.198,938,-2,986,-2,913,-1,866,-2,975,-3
2025-10-17 12:52:21.407,938,-2,986,-2,915,-3,868,-4,976,-4
2025-10-17 12:52:21.612,936,0,986,-2,914,-2,867,-3,976,-4
2025-10-17 12:52:21.821,938,-2,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:22.026,936,0,986,-2,915,-3,868,-4,977,-5
2025-10-17 12:52:22.235,937,-1,986,-2,914,-2,867,-3,976,-4
2025-10-17 12:52:22.440,937,-1,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:22.648,936,0,986,-2,915,-3,868,-4,977,-5
2025-10-17 12:52:22.853,938,-2,986,-2,913,-1,866,-2,975,-3
2025-10-17 12:52:23.058,937,-1,987,-3,915,-3,868,-4,976,-4
2025-10-17 12:52:23.267,936,0,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:23.472,937,-1,986,-2,914,-2,867,-3,975,-3
2025-10-17 12:52:23.681,937,-1,986,-2,916,-4,868,-4,976,-4
2025-10-17 12:52:23.886,937,-1,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:24.094,937,-1,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:24.299,936,0,986,-2,916,-4,867,-3,976,-4
2025-10-17 12:52:24.508,937,-1,986,-2,913,-1,866,-2,975,-3
2025-10-17 12:52:24.713,937,-1,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:24.918,935,1,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:25.126,938,-2,986,-2,913,-1,866,-2,975,-3
2025-10-17 12:52:25.331,937,-1,986,-2,916,-4,868,-4,976,-4
2025-10-17 12:52:25.540,936,0,986,-2,915,-3,867,-3,975,-3
2025-10-17 12:52:25.745,938,-2,986,-2,914,-2,867,-3,975,-3
2025-10-17 12:52:25.954,936,0,986,-2,916,-4,868,-4,976,-4
2025-10-17 12:52:26.159,938,-2,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:26.363,937,-1,986,-2,915,-3,868,-4,976,-4
2025-10-17 12:52:26.572,936,0,986,-2,916,-4,868,-4,976,-4
2025-10-17 12:52:26.777,938,-2,986,-2,914,-2,866,-2,975,1
2025-10-17 12:52:26.986,936,0,986,-2,916,-4,868,-4,976,0
2025-10-17 12:52:27.191,937,-1,986,-2,914,-2,867,-3,976,0
2025-10-17 12:52:27.400,939,-3,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:27.605,936,0,987,-3,915,-3,868,-4,976,-4
2025-10-17 12:52:27.810,937,-1,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:28.018,938,-2,986,-2,915,-3,868,-4,976,-4
2025-10-17 12:52:28.223,936,0,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:28.432,938,-2,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:28.637,937,-1,987,-3,916,-4,869,-5,976,-4
2025-10-17 12:52:28.846,936,0,986,-2,914,-2,867,-3,975,-3
2025-10-17 12:52:29.051,938,-2,986,-2,914,-2,867,-3,976,-4
2025-10-17 12:52:29.259,936,0,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:29.463,938,-2,986,-2,913,-1,866,-2,975,-3
2025-10-17 12:52:29.669,938,-2,986,-2,916,-4,868,-4,976,-4
2025-10-17 12:52:29.878,936,0,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:30.083,938,-2,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:30.291,936,0,986,-2,916,-4,869,-5,977,-5
2025-10-17 12:52:30.496,937,-1,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:30.705,939,-3,986,-2,916,-4,866,-2,976,-4
2025-10-17 12:52:30.910,936,0,986,-2,916,-4,868,-4,976,-4
2025-10-17 12:52:31.119,938,-2,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:31.323,937,-1,986,-2,915,-3,868,-4,976,0
2025-10-17 12:52:31.529,936,0,986,-2,915,-3,867,-3,975,1
2025-10-17 12:52:31.737,938,-2,986,-2,914,-2,866,-2,976,0
2025-10-17 12:52:31.942,937,-1,987,-3,916,-4,869,-5,977,-5
2025-10-17 12:52:32.151,938,-2,986,-2,913,-1,866,-2,975,-3
2025-10-17 12:52:32.356,937,-1,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:32.565,935,1,987,-3,915,-3,868,-4,976,-4
2025-10-17 12:52:32.769,938,-2,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:32.974,937,-1,986,-2,915,-3,868,-4,976,-4
2025-10-17 12:52:33.183,936,0,986,-2,915,-3,867,-3,976,-4
2025-10-17 12:52:33.388,938,-2,986,-2,914,-2,866,-2,975,-3
2025-10-17 12:52:33.597,937,-1,986,-2,916,-4,868,-4,977,-5
2025-10-17 12:52:33.802,936,0,986,-2,914,-2,867,-3,975,-3
2025-10-17 12:52:34.011,937,-1,986,-2,915,-3,867,-3,975,-3
