Timestamp,Channel_0_Filtered,Channel_0_Error,Channel_1_Filtered,Channel_1_Error,Channel_2_Filtered,Channel_2_Error,Channel_3_Filtered,Channel_3_Error,Channel_4_Filtered,Channel_4_Error
2025-10-17 13:05:04.390,0,940,987,-3,913,-1,862,-2,973,-1
2025-10-17 13:05:04.599,940,0,0,984,0,912,864,0,974,-2
2025-10-17 13:05:04.805,942,-2,988,0,913,-1,863,1,973,-1
2025-10-17 13:05:05.009,940,0,987,1,914,-2,865,-1,975,-3
2025-10-17 13:05:05.217,943,-3,987,1,912,0,863,1,973,-1
2025-10-17 13:05:05.423,941,-1,987,1,914,-2,865,-1,974,-2
2025-10-17 13:05:05.631,941,-1,987,1,913,-1,863,1,974,-2
2025-10-17 13:05:05.837,942,-2,987,-3,913,-1,864,-4,974,-2
2025-10-17 13:05:06.045,940,0,987,-3,913,-1,864,-4,974,-2
2025-10-17 13:05:06.250,941,-1,987,-3,912,0,863,-3,973,-1
2025-10-17 13:05:06.455,940,0,987,-3,914,-2,864,-4,974,-2
2025-10-17 13:05:06.664,942,-2,987,-3,912,0,862,-2,973,-1
2025-10-17 13:05:06.868,941,-1,987,-3,913,-1,863,-3,974,-2
2025-10-17 13:05:07.078,940,0,987,-3,914,-2,864,-4,974,-2
2025-10-17 13:05:07.282,942,-2,987,-3,913,-1,864,-4,974,-2
2025-10-17 13:05:07.491,940,0,987,-3,913,-1,864,-4,974,-2
2025-10-17 13:05:07.696,941,-1,987,-3,912,0,863,-3,973,-1
2025-10-17 13:05:07.901,941,-1,987,-3,915,-3,865,-5,974,-2
2025-10-17 13:05:08.109,942,-2,987,-3,913,-1,863,-3,973,-1
2025-10-17 13:05:08.314,940,0,987,-3,914,-2,863,-3,974,-2
2025-10-17 13:05:08.523,941,-1,987,-3,914,-2,864,-4,974,-2
2025-10-17 13:05:08.728,942,-2,987,-3,913,-1,863,-3,973,-1
2025-10-17 13:05:08.937,940,0,987,-3,914,-2,863,-3,974,-2
2025-10-17 13:05:09.142,942,-2,987,-3,913,-1,863,-3,974,-2
2025-10-17 13:05:09.346,940,0,987,-3,914,-2,864,-4,975,-3
2025-10-17 13:05:09.555,941,-1,987,-3,913,-1,863,-3,973,-1
2025-10-17 13:05:09.760,941,-1,987,-3,914,-2,863,-3,974,-2
2025-10-17 13:05:09.969,940,0,987,-3,914,-2,864,-4,974,-2
2025-10-17 13:05:10.174,942,-2,987,-3,912,0,862,-2,973,-1
2025-10-17 13:05:10.383,940,0,987,-3,914,-2,864,-4,974,-2
2025-10-17 13:05:10.587,941,-1,987,-3,912,0,863,-3,973,-1
2025-10-17 13:05:10.796,942,-2,987,-3,914,-2,864,-4,974,-2
2025-10-17 13:05:11.001,941,-1,987,-3,913,-1,864,-4,974,-2
2025-10-17 13:05:11.206,941,-1,987,-3,913,-1,862,-2,973,-1
2025-10-17 13:05:11.415,940,0,988,-4,915,-3,865,-5,975,-3
2025-10-17 13:05:11.620,942,-2,987,-3,912,0,863,-3,973,-1
2025-10-17 13:05:11.828,941,-1,988,-4,915,-3,864,-4,974,-2
2025-10-17 13:05:12.033,941,-1,987,-3,913,-1,863,-3,973,-1
2025-10-17 13:05:12.242,941,-1,987,-3,913,-1,864,-4,974,-2
2025-10-17 13:05:12.447,940,0,987,-3,913,-1,863,-3,974,-2
2025-10-17 13:05:12.652,942,-2,988,-4,914,-2,863,-3,973,-1
2025-10-17 13:05:12.861,940,0,987,-3,914,-2,864,-4,974,-2
2025-10-17 13:05:13.066,942,-2,987,-3,912,0,863,-3,973,-1
