Timestamp,Channel_0_Filtered,Channel_0_Error,Channel_1_Filtered,Channel_1_Error,Channel_2_Filtered,Channel_2_Error,Channel_3_Filtered,Channel_3_Error,Channel_4_Filtered,Channel_4_Error
2025-11-02 19:08:43.675,0,948,0,960,0,996,955,-3,1002,-2
2025-11-02 19:08:43.884,948,0,963,-3,998,-2,955,-3,1002,-2
2025-11-02 19:08:44.089,948,0,962,-2,997,-1,955,-3,1002,-2
2025-11-02 19:08:44.297,948,0,962,-2,997,-1,955,-3,1002,-2
2025-11-02 19:08:44.503,948,0,962,-2,998,-2,955,-3,1002,-2
2025-11-02 19:08:44.712,948,0,962,-2,998,-2,955,-3,1002,-2
2025-11-02 19:08:44.917,949,-1,962,-2,998,-2,955,-3,1002,-2
2025-11-02 19:08:45.122,949,-1,962,-2,998,-2,955,-3,1002,-2
2025-11-02 19:08:45.330,941,7,960,0,997,-1,954,-2,1002,-2
2025-11-02 19:08:45.535,932,16,959,1,997,-1,952,0,1001,-1
2025-11-02 19:08:45.743,941,7,954,6,997,-1,952,0,1001,-1
2025-11-02 19:08:45.948,946,2,948,12,997,-1,952,0,1001,-1
2025-11-02 19:08:46.157,947,-3,959,1,997,-1,950,2,1001,-1
2025-11-02 19:08:46.363,946,-2,961,-1,996,0,940,12,1001,-1
2025-11-02 19:08:46.567,937,7,960,0,997,-1,948,4,992,8
2025-11-02 19:08:46.776,926,18,959,1,997,-1,952,0,999,1
2025-11-02 19:08:46.981,941,3,954,6,997,-1,953,-1,1001,-1
2025-11-02 19:08:47.190,947,-3,954,6,997,-1,953,-1,1001,-1
2025-11-02 19:08:47.395,947,-3,960,0,997,-1,951,1,1001,-1
2025-11-02 19:08:47.603,946,-2,961,-1,996,0,939,13,1000,0
2025-11-02 19:08:47.808,935,9,960,0,997,-1,951,1,997,3
2025-11-02 19:08:48.013,935,9,957,3,997,-1,953,-5,1000,0
2025-11-02 19:08:48.222,946,-2,946,14,997,-1,953,-5,1001,-1
2025-11-02 19:08:48.427,947,-3,959,1,997,-1,952,-4,1001,-1
2025-11-02 19:08:48.636,947,-3,961,-1,996,0,938,10,1001,-1
2025-11-02 19:08:48.841,939,5,961,-1,997,-1,947,1,996,4
2025-11-02 19:08:49.046,931,13,957,3,997,-1,952,-4,999,-3
2025-11-02 19:08:49.254,946,-2,947,13,997,-1,953,-5,1001,-5
2025-11-02 19:08:49.459,948,-4,961,-1,997,-1,952,-4,1001,-5
2025-11-02 19:08:49.668,945,-1,961,-1,997,-1,939,9,1001,-1
2025-11-02 19:08:49.873,930,14,959,1,997,-1,951,-3,997,3
2025-11-02 19:08:50.082,944,0,949,11,997,-1,953,-5,1001,-1
2025-11-02 19:08:50.287,947,-3,959,1,997,-1,953,-1,1002,-2
2025-11-02 19:08:50.495,946,-2,960,0,997,-1,940,12,1001,-1
2025-11-02 19:08:50.700,933,11,959,1,997,-1,949,3,999,1
2025-11-02 19:08:50.905,947,-3,961,-1,998,-2,953,-5,1001,-5
2025-11-02 19:08:51.113,949,-5,963,-3,998,-2,953,-5,1002,-6
2025-11-02 19:08:51.318,949,-5,962,-2,998,-2,955,-7,1002,-2
2025-11-02 19:08:51.527,948,-4,963,-3,998,-2,955,-7,1002,-2
2025-11-02 19:08:51.732,948,-4,962,-2,998,-2,955,-7,1002,-2
