Timestamp,Channel_0_Filtered,Channel_0_Error,Channel_1_Filtered,Channel_1_Error,Channel_2_Filtered,Channel_2_Error,Channel_3_Filtered,Channel_3_Error,Channel_4_Filtered,Channel_4_Error
2025-10-17 12:44:53.693,951,-3,993,-1,919,-3,870,-6,978,-6
2025-10-17 12:44:53.899,944,4,992,0,914,2,870,-2,974,2
2025-10-17 12:44:54.107,947,1,993,-1,915,1,865,3,974,2
2025-10-17 12:44:54.312,948,0,993,-1,914,2,866,2,977,-1
2025-10-17 12:44:54.517,945,3,993,-1,913,3,865,3,975,1
2025-10-17 12:44:54.725,951,-3,994,-2,919,-3,864,4,977,-1
2025-10-17 12:44:54.931,951,-3,994,-2,919,-3,870,-2,978,-2
2025-10-17 12:44:55.139,945,3,992,0,913,3,871,-3,974,2
2025-10-17 12:44:55.344,947,1,993,-1,915,1,865,3,974,2
2025-10-17 12:44:55.550,949,-1,993,-1,916,0,865,3,977,-1
2025-10-17 12:44:55.758,948,0,993,-1,915,1,867,1,976,0
2025-10-17 12:44:55.963,951,-3,993,-1,918,-2,866,2,977,-1
2025-10-17 12:44:56.172,952,-4,994,-2,919,-3,870,-2,978,-2
2025-10-17 12:44:56.376,944,4,992,0,913,3,871,-3,975,1
2025-10-17 12:44:56.581,943,5,993,-1,912,4,862,6,973,3
2025-10-17 12:44:56.790,953,-5,993,-1,918,-2,863,5,979,-3
2025-10-17 12:44:56.995,949,-1,993,-1,916,0,870,-2,977,-1
2025-10-17 12:44:57.203,950,-2,993,-1,919,-3,867,1,976,0
2025-10-17 12:44:57.409,951,-3,994,-2,920,-4,871,-3,977,-5
2025-10-17 12:44:57.617,944,4,992,0,911,5,871,-3,974,-2
2025-10-17 12:44:57.822,944,4,992,0,911,5,861,7,973,3
2025-10-17 12:44:58.027,954,-6,994,-2,920,-4,862,6,979,-3
2025-10-17 12:44:58.236,951,-3,993,-1,917,-1,871,-3,979,-3
2025-10-17 12:44:58.441,947,1,993,-1,916,0,869,-1,975,1
2025-10-17 12:44:58.650,951,-3,994,-2,918,-2,868,0,976,0
2025-10-17 12:44:58.854,945,3,992,0,911,5,870,-2,974,2
2025-10-17 12:44:59.059,943,5,992,0,911,5,862,6,973,3
2025-10-17 12:44:59.268,954,-6,994,-2,920,-4,862,6,979,-3
2025-10-17 12:44:59.473,952,-4,993,-1,919,-3,873,-5,980,-4
2025-10-17 12:44:59.678,945,3,993,-1,915,1,870,-2,974,2
2025-10-17 12:44:59.887,949,-1,993,-1,917,-1,865,3,975,1
2025-10-17 12:45:00.092,946,6,992,0,913,3,869,-1,976,0
2025-10-17 12:45:00.300,943,9,992,0,911,5,863,5,973,3
2025-10-17 12:45:00.505,953,-5,994,-2,920,-4,862,6,973,3
2025-10-17 12:45:00.710,954,-6,994,-2,920,-4,872,-4,979,-3
2025-10-17 12:45:00.919,943,5,992,0,913,3,871,-3,973,3
2025-10-17 12:45:01.124,946,2,993,-1,915,1,863,5,974,2
2025-10-17 12:45:01.332,948,0,993,-1,914,2,867,1,976,0
2025-10-17 12:45:01.537,943,5,992,0,911,5,864,4,974,2
2025-10-17 12:45:01.742,954,-6,994,-2,919,-3,863,5,973,3
2025-10-17 12:45:01.951,954,-6,994,-2,920,-4,872,-4,979,-3
2025-10-17 12:45:02.156,943,5,992,0,911,5,872,-4,979,-3
2025-10-17 12:45:02.361,944,4,992,0,913,3,862,6,973,3
2025-10-17 12:45:02.569,947,1,993,-1,916,0,865,3,974,2
2025-10-17 12:45:02.775,946,2,992,0,912,4,866,2,976,0
2025-10-17 12:45:02.982,944,4,993,-1,919,-3,864,4,974,2
2025-10-17 12:45:03.187,953,-5,994,-2,920,-4,872,-4,978,-2
2025-10-17 12:45:03.392,953,-5,992,0,911,5,872,-4,979,-3
2025-10-17 12:45:03.602,943,5,993,-1,912,4,862,6,973,3
2025-10-17 12:45:03.806,947,1,993,-1,918,-2,863,5,974,2
2025-10-17 12:45:04.015,948,0,993,-1,914,2,868,0,977,-1
2025-10-17 12:45:04.220,944,8,994,-2,918,-2,865,3,975,1
2025-10-17 12:45:04.425,952,0,994,-2,921,-5,871,-3,978,-2
2025-10-17 12:45:04.634,953,-5,992,0,911,5,872,-4,979,-3
2025-10-17 12:45:04.839,944,4,992,0,911,5,862,6,973,3
2025-10-17 12:45:05.047,944,4,993,-1,919,-3,863,5,973,3
2025-10-17 12:45:05.252,950,-2,993,-1,916,0,870,-2,978,-2
2025-10-17 12:45:05.457,947,1,993,-1,918,-2,867,1,977,-1
2025-10-17 12:45:05.665,952,-4,994,-2,919,-3,868,0,977,-1
2025-10-17 12:45:05.870,953,-5,992,0,911,5,871,-3,979,-3
2025-10-17 12:45:06.080,943,5,992,0,911,5,862,6,973,3
2025-10-17 12:45:06.284,943,5,992,0,920,-4,862,6,972,4
2025-10-17 12:45:06.489,951,-3,994,-2,917,-1,872,-4,979,-3
2025-10-17 12:45:06.698,949,-1,993,-1,914,2,869,-1,977,-1
2025-10-17 12:45:06.903,950,-2,994,-2,918,-2,868,0,975,1
2025-10-17 12:45:07.112,952,-4,994,-2,911,5,870,-2,978,-2
2025-10-17 12:45:07.316,943,5,992,0,910,6,862,6,973,3
2025-10-17 12:45:07.522,943,5,992,0,921,-5,862,6,972,4
2025-10-17 12:45:07.730,953,-5,994,-2,919,-3,872,-4,979,-3
2025-10-17 12:45:07.935,950,-2,993,-1,914,2,871,-3,978,-2
2025-10-17 12:45:08.144,948,0,993,-1,917,-1,865,3,975,1
2025-10-17 12:45:08.349,951,1,994,-2,913,3,868,0,977,-1
2025-10-17 12:45:08.554,943,9,992,0,912,4,863,5,973,3
2025-10-17 12:45:08.762,943,5,992,0,910,6,863,5,973,3
2025-10-17 12:45:08.967,955,-7,994,-2,921,-5,872,-4,980,-4
2025-10-17 12:45:09.176,952,-4,993,-1,919,-3,873,-5,979,-3
2025-10-17 12:45:09.381,946,2,993,-1,915,1,864,4,973,3
2025-10-17 12:45:09.586,950,-2,993,-1,919,-3,867,1,976,0
2025-10-17 12:45:09.795,945,3,992,0,911,5,865,3,974,2
2025-10-17 12:45:10.000,943,5,992,0,910,6,862,6,973,3
2025-10-17 12:45:10.204,955,-7,994,-2,921,-5,872,-4,979,-3
2025-10-17 12:45:10.413,954,-6,994,-2,921,-5,873,-5,979,-3
2025-10-17 12:45:10.618,944,4,993,-1,913,7,862,6,973,3
2025-10-17 12:45:10.827,948,0,993,-1,917,3,865,7,974,2
2025-10-17 12:45:11.032,946,2,993,-1,914,6,867,1,975,1
2025-10-17 12:45:11.236,944,4,992,0,911,9,863,5,974,2
2025-10-17 12:45:11.445,955,-7,994,-2,921,-1,861,7,979,-3
