Timestamp,Channel_0_Filtered,Channel_0_Error,Channel_1_Filtered,Channel_1_Error,Channel_2_Filtered,Channel_2_Error,Channel_3_Filtered,Channel_3_Error,Channel_4_Filtered,Channel_4_Error
2025-10-17 03:45:06.647,0,963,0,986,0,910,800,3,970,-2
2025-10-17 03:45:06.855,968,-5,989,-3,915,-5,0,803,0,968
2025-10-17 03:45:07.061,968,-5,989,-3,911,-1,804,-1,972,-4
2025-10-17 03:45:07.265,965,-2,989,-3,911,-1,802,1,969,-1
2025-10-17 03:45:07.474,965,-2,989,-3,916,-6,801,2,970,-2
2025-10-17 03:45:07.679,968,-5,989,-3,915,-5,803,0,972,-4
2025-10-17 03:45:07.887,966,-3,989,-3,914,-4,802,1,971,-3
2025-10-17 03:45:08.092,967,-4,989,-3,915,-5,802,1,971,-3
2025-10-17 03:45:08.297,968,-5,989,-3,912,-2,804,-1,972,-4
2025-10-17 03:45:08.506,966,-3,989,-3,911,-1,801,2,969,-1
2025-10-17 03:45:08.711,965,-2,989,-3,915,-5,801,2,969,-1
2025-10-17 03:45:08.920,968,-5,989,-3,916,-6,802,1,972,-4
2025-10-17 03:45:09.124,967,-4,989,-3,913,-3,803,0,972,-4
2025-10-17 03:45:09.330,967,-4,989,-3,915,-5,802,1,970,-2
2025-10-17 03:45:09.538,968,-5,989,-3,911,-1,802,1,971,-3
2025-10-17 03:45:09.744,965,-2,988,-2,911,-1,801,2,970,-2
2025-10-17 03:45:09.948,965,-2,989,-3,916,-6,800,3,969,-1
2025-10-17 03:45:10.157,969,-6,989,-3,916,-6,803,0,972,-4
2025-10-17 03:45:10.362,968,-5,989,-3,912,-2,803,0,972,-4
2025-10-17 03:45:10.571,966,-3,989,-3,914,-4,802,1,969,-1
2025-10-17 03:45:10.776,968,-5,989,-3,912,-2,802,1,971,-3
2025-10-17 03:45:10.980,966,-3,989,-3,911,-1,801,2,964,4
2025-10-17 03:45:11.189,965,-2,988,-2,913,-3,800,3,954,14
2025-10-17 03:45:11.394,968,-5,989,-3,912,-2,804,-1,939,29
2025-10-17 03:45:11.599,968,-5,989,-3,906,4,802,1,913,55
2025-10-17 03:45:11.808,965,-2,989,-3,907,3,801,2,881,87
2025-10-17 03:45:12.013,967,-4,989,-3,907,3,802,1,849,119
2025-10-17 03:45:12.221,965,-2,989,-3,905,5,801,2,846,122
2025-10-17 03:45:12.426,965,-2,988,-2,908,2,800,3,872,96
2025-10-17 03:45:12.631,969,-6,989,-3,912,-2,803,0,925,43
2025-10-17 03:45:12.840,969,-6,989,-3,913,-3,803,0,931,37
2025-10-17 03:45:13.044,965,-2,988,-2,909,1,800,3,932,36
2025-10-17 03:45:13.250,965,-2,988,-2,910,0,801,2,931,37
2025-10-17 03:45:13.458,966,-3,989,-3,907,3,801,2,932,36
2025-10-17 03:45:13.663,965,-2,989,-3,909,1,800,3,937,31
2025-10-17 03:45:13.872,968,-5,989,-3,914,-4,800,3,950,18
2025-10-17 03:45:14.077,968,-5,989,-3,915,-5,803,0,953,15
2025-10-17 03:45:14.281,965,-2,988,-2,909,1,803,0,947,21
2025-10-17 03:45:14.490,965,-2,988,-2,910,0,802,1,944,24
2025-10-17 03:45:14.695,967,-4,989,-3,912,-2,801,2,948,20
2025-10-17 03:45:14.900,966,-3,989,-3,909,1,800,3,952,16
2025-10-17 03:45:15.109,968,-5,989,-3,913,-3,800,3,953,15
2025-10-17 03:45:15.313,968,-5,989,-3,910,0,803,0,943,25
2025-10-17 03:45:15.522,965,-2,989,-3,909,1,802,1,936,32
2025-10-17 03:45:15.727,965,-2,989,-3,908,2,800,3,945,23
2025-10-17 03:45:15.932,967,-4,988,-2,909,1,801,2,935,33
2025-10-17 03:45:16.141,966,-3,989,-3,908,2,802,1,925,43
2025-10-17 03:45:16.346,968,-5,989,-3,911,-1,801,2,938,30
2025-10-17 03:45:16.550,968,-5,988,-2,910,0,802,1,935,33
2025-10-17 03:45:16.759,965,-2,989,-3,904,6,803,0,914,54
2025-10-17 03:45:16.964,965,-2,989,-3,909,1,800,3,925,43
2025-10-17 03:45:17.169,968,-5,989,-3,914,-4,801,2,939,29
2025-10-17 03:45:17.378,968,-5,989,-3,911,-1,803,0,940,28
2025-10-17 03:45:17.582,968,-5,989,-3,914,-4,801,2,939,29
2025-10-17 03:45:17.791,968,-5,989,-3,916,-6,802,1,960,8
2025-10-17 03:45:17.996,965,-2,989,-3,912,-2,802,1,971,-3
2025-10-17 03:45:18.201,965,-2,989,-3,912,-2,799,4,968,0
2025-10-17 03:45:18.410,968,-5,990,-4,915,-5,793,10,967,1
2025-10-17 03:45:18.615,968,-5,989,-3,915,-5,791,12,969,-1
2025-10-17 03:45:18.824,966,-3,989,-3,914,-4,790,13,969,-1
2025-10-17 03:45:19.028,967,-4,989,-3,915,-5,791,12,968,0
2025-10-17 03:45:19.234,965,-2,989,-3,912,-2,790,13,968,0
2025-10-17 03:45:19.442,965,-2,989,-3,911,-1,787,16,966,2
2025-10-17 03:45:19.647,969,-6,989,-3,917,-7,790,13,967,1
2025-10-17 03:45:19.852,968,-5,989,-3,915,-5,792,11,970,-2
2025-10-17 03:45:20.060,965,-2,989,-3,911,-1,784,19,967,1
2025-10-17 03:45:20.266,967,-4,989,-3,914,-4,783,20,967,1
2025-10-17 03:45:20.474,967,-4,989,-3,912,-2,791,12,969,-1
2025-10-17 03:45:20.679,965,-2,989,-3,911,-1,788,15,968,0
2025-10-17 03:45:20.884,968,-5,989,-3,915,-5,789,14,967,1
2025-10-17 03:45:21.092,969,-6,989,-3,915,-5,792,11,971,-3
2025-10-17 03:45:21.297,965,-2,989,-3,912,-2,793,10,971,-3
2025-10-17 03:45:21.506,965,-2,989,-3,913,-3,792,11,968,0
