Timestamp,Channel_0_Filtered,Channel_0_Error,Channel_1_Filtered,Channel_1_Error,Channel_2_Filtered,Channel_2_Error,Channel_3_Filtered,Channel_3_Error,Channel_4_Filtered,Channel_4_Error
2025-10-17 03:55:35.249,0,963,989,-3,914,-4,802,1,971,-3
2025-10-17 03:55:35.458,965,-2,0,986,0,910,0,803,0,968
2025-10-17 03:55:35.663,967,-4,989,-3,912,-2,802,1,969,-1
2025-10-17 03:55:35.868,966,-3,989,-3,915,-5,803,0,969,-1
2025-10-17 03:55:36.077,966,-3,989,-3,914,-4,801,2,969,-1
2025-10-17 03:55:36.282,969,-6,989,-3,915,-5,803,0,970,-2
2025-10-17 03:55:36.491,969,-6,990,-4,916,-6,804,-1,972,-4
2025-10-17 03:55:36.696,967,-4,989,-3,913,-3,800,3,971,-3
2025-10-17 03:55:36.900,967,-4,989,-3,913,-3,801,2,972,-4
2025-10-17 03:55:37.109,967,-4,990,-4,915,-5,802,1,973,-5
2025-10-17 03:55:37.314,967,-4,989,-3,914,-4,802,1,967,1
2025-10-17 03:55:37.523,970,-7,989,-3,916,-6,803,0,962,6
2025-10-17 03:55:37.727,969,-6,990,-4,916,-6,803,0,964,4
2025-10-17 03:55:37.933,966,-3,989,-3,912,-2,801,2,952,16
2025-10-17 03:55:38.141,966,-3,989,-3,912,-2,801,2,952,16
2025-10-17 03:55:38.346,968,-5,989,-3,915,-5,803,0,956,12
2025-10-17 03:55:38.551,967,-4,989,-3,914,-4,802,1,960,8
2025-10-17 03:55:38.759,969,-6,989,-3,914,-4,803,0,961,7
2025-10-17 03:55:38.964,969,-6,989,-3,915,-5,803,0,959,9
2025-10-17 03:55:39.174,965,-2,989,-3,916,-6,801,2,956,12
2025-10-17 03:55:39.378,966,-3,989,-3,913,-3,801,2,952,16
2025-10-17 03:55:39.583,968,-5,989,-3,912,-2,803,0,948,20
2025-10-17 03:55:39.792,967,-4,989,-3,915,-5,803,0,949,19
2025-10-17 03:55:39.997,968,-5,989,-3,914,-4,802,1,946,22
2025-10-17 03:55:40.202,968,-5,989,-3,915,-5,803,0,943,25
2025-10-17 03:55:40.411,966,-3,989,-3,916,-6,800,3,930,38
2025-10-17 03:55:40.616,966,-3,989,-3,912,-2,801,2,927,41
2025-10-17 03:55:40.824,969,-6,989,-3,912,-2,803,0,926,42
2025-10-17 03:55:41.029,968,-5,989,-3,916,-6,803,0,929,39
2025-10-17 03:55:41.234,966,-3,989,-3,915,-5,801,2,916,52
2025-10-17 03:55:41.443,967,-4,989,-3,913,-3,802,1,870,98
2025-10-17 03:55:41.647,965,-2,989,-3,916,-6,801,2,937,31
2025-10-17 03:55:41.853,966,-3,989,-3,913,-3,801,2,946,22
2025-10-17 03:55:42.062,967,-4,989,-3,912,-2,802,1,952,16
2025-10-17 03:55:42.266,968,-5,990,-4,915,-5,804,-1,951,17
2025-10-17 03:55:42.475,966,-3,989,-3,915,-5,801,2,950,18
2025-10-17 03:55:42.680,966,-3,989,-3,912,-2,802,1,946,22
2025-10-17 03:55:42.885,966,-3,989,-3,913,-3,802,1,946,22
2025-10-17 03:55:43.093,966,-3,989,-3,913,-3,800,3,948,20
2025-10-17 03:55:43.298,968,-5,989,-3,912,-2,803,0,954,14
2025-10-17 03:55:43.507,968,-5,989,-3,915,-5,803,0,949,19
2025-10-17 03:55:43.712,965,-2,989,-3,915,-5,801,2,950,18
2025-10-17 03:55:43.917,966,-3,989,-3,913,-3,801,2,951,17
2025-10-17 03:55:44.126,968,-5,989,-3,913,-3,802,1,960,8
2025-10-17 03:55:44.330,967,-4,989,-3,914,-4,802,1,961,7
2025-10-17 03:55:44.536,968,-5,989,-3,913,-3,801,2,958,10
2025-10-17 03:55:44.745,968,-5,989,-3,915,-5,803,0,964,4
2025-10-17 03:55:44.949,965,-2,989,-3,916,-6,799,4,965,3
