timestamp,raw_x,raw_y,smooth_x,smooth_y,pattern
1763246198.0775154,0.0,0.0,0.0,0.0,Circle
1763246198.110718,0.0,0.0,0.0,0.0,Circle
1763246198.1439497,0.0,0.0,0.0,0.0,Circle
1763246198.1771846,0.0,0.0,0.0,0.0,Circle
1763246198.210436,0.0,0.0,0.0,0.0,Circle
1763246198.2436397,0.0,0.0,0.0,0.0,Circle
1763246198.2781625,0.0,0.0,0.0,0.0,Circle
1763246198.3113408,0.0,0.0,0.0,0.0,Circle
1763246198.3480346,0.0,0.0,0.0,0.0,Circle
1763246198.381216,0.0,0.0,0.0,0.0,Circle
1763246198.4144533,0.0,0.0,0.0,0.0,Circle
1763246198.4478116,0.0,0.0,0.0,0.0,Circle
1763246198.4811447,0.0,0.0,0.0,0.0,Circle
1763246198.5144622,0.0,0.0,0.0,0.0,Circle
1763246198.5476794,0.0,0.0,0.0,0.0,Circle
1763246198.5810013,0.0,0.0,0.0,0.0,Circle
1763246198.6143422,0.0,0.0,0.0,0.0,Circle
1763246198.6477425,0.0,0.0,0.0,0.0,Circle
1763246198.6811404,0.0,0.0,0.0,0.0,Circle
1763246198.7144294,0.0,0.0,0.0,0.0,Circle
1763246198.7478347,0.0,0.0,0.0,0.0,Circle
1763246198.782364,0.0,0.0,0.0,0.0,Circle
1763246198.8156395,0.0,0.0,0.0,0.0,Circle
1763246198.8516672,0.0,0.0,0.0,0.0,Circle
1763246198.884907,0.0,0.0,0.0,0.0,Circle
1763246198.9181964,0.0,0.0,0.0,0.0,Circle
1763246198.9514103,0.0,0.0,0.0,0.0,Circle
1763246198.984627,0.0,0.0,0.0,0.0,Circle
1763246199.0179036,0.0,0.0,0.0,0.0,Circle
1763246199.0511444,0.0,0.0,0.0,0.0,Circle
1763246199.084441,0.0,0.0,0.0,0.0,Circle
1763246199.118246,0.0,0.0,0.0,0.0,Circle
1763246199.1514475,0.0,0.0,0.0,0.0,Circle
1763246199.184682,0.0,-0.10146295422369041,0.0,-0.0705589787873624,Circle
1763246199.2178953,0.0,-0.10146295422369041,0.0,-0.08836745316712707,Circle
1763246199.2510962,0.0,-0.10146295422369041,0.0,-0.09472161416654276,Circle
1763246199.2863262,0.0,-0.10146295422369041,0.0,-0.09766541852399513,Circle
1763246199.3195493,0.0,-0.10146295422369041,0.0,-0.09924274748664083,Circle
1763246199.3528316,0.0,0.0,0.0,-0.03069346951693614,Circle
1763246199.3861191,0.0,-0.10648836057454183,0.0,-0.07780181399821777,Circle
1763246199.4194884,0.0,-0.10391493475108747,0.0,-0.09200040324833816,Circle
1763246199.4548519,0.0,-0.10648836057454183,0.0,-0.09897285941599387,Circle
1763246199.488213,0.0,-0.10648836057454183,0.0,-0.10229336872349162,Circle
1763246199.521588,0.0,-0.10648836057454183,0.0,-0.10404779555616675,Circle
1763246199.5548348,0.0,-0.10648836057454183,0.0,-0.10503611073780558,Circle
1763246199.5881364,0.0,-0.10648836057454183,0.0,-0.10561305094223472,Circle
1763246199.6226788,0.0,-0.10648836057454183,0.0,-0.10595667253984356,Circle
1763246199.6559744,0.0,-0.1120375195414278,0.0,-0.10852213347841035,Circle
1763246199.6892672,0.0,-0.1120375195414278,0.0,-0.10996901816722145,Circle
1763246199.7226105,0.0,-0.1417870518994114,0.0,-0.12702465071751423,Circle
1763246199.7559373,0.0,-0.1780667043527416,0.0,-0.15789883438433502,Circle
1763246199.789224,0.0,-0.21869382863990408,0.0,-0.1965240326765292,Circle
1763246199.8225484,0.0,-0.21869382863990408,0.0,-0.20834316765665797,Circle
1763246199.855882,0.0,-0.25633106856084,0.0,-0.23697470430225678,Circle
1763246199.8892536,0.0,-0.3165418652144315,0.0,-0.2903472201670149,Circle
1763246199.9225655,0.0,-0.3165418652144315,0.0,-0.30488967975928993,Circle
