timestamp,target_x,target_y,raw_x,raw_y,smooth_x,smooth_y
1763246016.016187,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.0494452,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.0826898,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.11592,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.149228,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.1825216,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.2157834,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.2490196,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.2822907,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.315462,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.3486907,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.3819182,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.415152,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.4504871,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.4837453,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.517093,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.5505939,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.5838478,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.6184578,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.6517076,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.6849146,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.718177,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.7514496,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.7865286,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.819787,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.8530326,0.08620898458921145,0.7344924813900566,0.0,0.0,0.0,0.0
1763246016.8863873,0.08620898458921145,0.7344924813900566,-0.11334196891191708,0.0,-0.08068084464398197,0.0
1763246016.919856,0.08620898458921145,0.7344924813900566,-0.2046130952380952,0.0,-0.17274068446097687,0.0
1763246016.9531631,0.08620898458921145,0.7344924813900566,-0.24181547619047616,0.0,-0.21926246280161607,0.0
1763246016.9863677,0.08620898458921145,0.7344924813900566,-0.4070881226053639,0.22030651340996163,-0.3686892650494616,0.1781403195377862
1763246017.020132,0.08620898458921145,0.7344924813900566,-0.4376899696048632,0.2836879432624113,-0.416019451116194,0.256032783298631
1763246017.0540073,0.08620898458921145,0.7344924813900566,-0.46104589114194233,0.45891141942369257,-0.4434739932038648,0.41970856467333717
1763246017.087561,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.48536149758092206,0.4695517827758958
1763246017.1231847,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.49772028469256524,0.4814491374334963
1763246017.1565807,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5027653077982188,0.4861026225750233
1763246017.1899257,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5052488660807499,0.48839816465269725
1763246017.2234087,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5066006370811537,0.4896553126035931
1763246017.2570312,0.08620898458921145,0.7344924813900566,-0.48026681489716505,0.5197331851028348,-0.4931556248716268,0.5055609078054791
1763246017.2904766,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5000873451960814,0.4993447418606638
1763246017.3237836,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5038211561984147,0.4958955552544837
1763246017.357302,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5058053261630737,0.4940402542671274
1763246017.3908367,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5069157318000026,0.49299574689498177
1763246017.424273,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5075607647465946,0.4923870413858221
1763246017.4590485,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5079436809317781,0.4920250162561213
1763246017.4923818,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5081743612624516,0.49180669576006164
1763246017.525569,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5083143254903311,0.49167414585804664
1763246017.5587912,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5083996412661487,0.4915933177249868
1763246017.5919728,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5084517969270279,0.49154389362276224
1763246017.625181,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5084837374162801,0.49151362151593536
1763246017.6584291,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5085033192721289,0.49149506083285416
1763246017.691649,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5085153324037925,0.49148367354719774
1763246017.72496,0.08620898458921145,0.7344924813900566,-0.48026681489716505,0.5197331851028348,-0.4937964645599493,0.506203194459194
1763246017.758183,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5003724038453697,0.49962744540361503
1763246017.7913957,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5039641171453886,0.49603580769878536
1763246017.8248868,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5058833170346781,0.49411664200382743
1763246017.8582149,0.08620898458921145,0.7344924813900566,-0.48026681489716505,0.5197331851028348,-0.49287447970403964,0.5071255057292798
1763246017.891977,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.49995051143170666,0.5000494822663825
1763246017.9252782,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.5037521819194437,0.49624781497377307
1763246017.9586356,0.08620898458921145,0.7344924813900566,-0.48026681489716505,0.5197331851028348,-0.4920859081467178,0.5079140907139383
1763246017.9918592,0.08620898458921145,0.7344924813900566,-0.5085344320188346,0.4914655679811653,-0.4996309275094283,0.5003690720106244
